park,row,col,original_filename,new_filename,ride_name,uncertain
magic_kingdom,1,1,magic_kingdom_r1_c1.png,walt_disney_world_railroad_main_street.png,Walt Disney World Railroad Main Street,Y
magic_kingdom,1,2,magic_kingdom_r1_c2.png,main_street_vehicles.png,Main Street Vehicles,Y
magic_kingdom,1,3,magic_kingdom_r1_c3.png,town_square_theater_mickey.png,Town Square Theater Mickey,Y
magic_kingdom,1,4,magic_kingdom_r1_c4.png,sorcerers_of_the_magic_kingdom.png,Sorcerers of the Magic Kingdom,Y
magic_kingdom,2,1,magic_kingdom_r2_c1.png,enchanted_tales_with_belle.png,Enchanted Tales with Belle,Y
magic_kingdom,2,2,magic_kingdom_r2_c2.png,dumbo_the_flying_elephant.png,Dumbo the Flying Elephant,
magic_kingdom,2,3,magic_kingdom_r2_c3.png,mad_tea_party.png,Mad Tea Party,
magic_kingdom,2,4,magic_kingdom_r2_c4.png,the_barnstormer.png,The Barnstormer,Y
magic_kingdom,2,5,magic_kingdom_r2_c5.png,prince_charming_regal_carrousel.png,Prince Charming Regal Carrousel,
magic_kingdom,3,1,magic_kingdom_r3_c1.png,peter_pans_flight.png,Peter Pans Flight,
magic_kingdom,3,2,magic_kingdom_r3_c2.png,pinocchio_village_haus.png,Pinocchio Village Haus,Y
magic_kingdom,3,3,magic_kingdom_r3_c3.png,under_the_sea_journey_of_the_little_mermaid.png,Under the Sea Journey of the Little Mermaid,
magic_kingdom,3,4,magic_kingdom_r3_c4.png,princess_fairytale_hall.png,Princess Fairytale Hall,Y
magic_kingdom,3,5,magic_kingdom_r3_c5.png,storybook_circus.png,Storybook Circus,Y
magic_kingdom,4,1,magic_kingdom_r4_c1.png,the_many_adventures_of_winnie_the_pooh.png,The Many Adventures of Winnie the Pooh,
magic_kingdom,4,2,magic_kingdom_r4_c2.png,ariels_grotto.png,Ariels Grotto,Y
magic_kingdom,4,3,magic_kingdom_r4_c3.png,casey_jr_splash_n_soak_station.png,Casey Jr Splash N Soak Station,
magic_kingdom,4,4,magic_kingdom_r4_c4.png,walt_disney_world_railroad_storybook_circus.png,Walt Disney World Railroad Storybook Circus,Y
magic_kingdom,5,1,magic_kingdom_r5_c1.png,astro_orbiter.png,Astro Orbiter,
magic_kingdom,5,2,magic_kingdom_r5_c2.png,buzz_lightyears_space_ranger_spin.png,Buzz Lightyears Space Ranger Spin,Y
magic_kingdom,5,3,magic_kingdom_r5_c3.png,space_mountain.png,Space Mountain,
magic_kingdom,5,4,magic_kingdom_r5_c4.png,tomorrowland_transit_authority_peoplemover.png,Tomorrowland Transit Authority PeopleMover,
magic_kingdom,5,5,magic_kingdom_r5_c5.png,tron_lightcycle_run.png,TRON Lightcycle Run,
magic_kingdom,6,1,magic_kingdom_r6_c1.png,tomorrowland_speedway.png,Tomorrowland Speedway,
magic_kingdom,6,2,magic_kingdom_r6_c2.png,mickeys_philharmagic.png,Mickeys PhilharMagic,Y
magic_kingdom,6,3,magic_kingdom_r6_c3.png,carousel_of_progress.png,Carousel of Progress,
magic_kingdom,6,4,magic_kingdom_r6_c4.png,hall_of_presidents.png,Hall of Presidents,
magic_kingdom,6,5,magic_kingdom_r6_c5.png,liberty_square_riverboat.png,Liberty Square Riverboat,
magic_kingdom,6,6,magic_kingdom_r6_c6.png,the_hall_of_presidents_columned.png,The Hall of Presidents columned,Y
magic_kingdom,7,1,magic_kingdom_r7_c1.png,pirates_of_the_caribbean.png,Pirates of the Caribbean,
magic_kingdom,7,2,magic_kingdom_r7_c2.png,jungle_cruise.png,Jungle Cruise,
magic_kingdom,7,3,magic_kingdom_r7_c3.png,walt_disneys_enchanted_tiki_room.png,Walt Disneys Enchanted Tiki Room,
magic_kingdom,7,4,magic_kingdom_r7_c4.png,big_thunder_mountain_railroad.png,Big Thunder Mountain Railroad,
magic_kingdom,7,5,magic_kingdom_r7_c5.png,the_magic_carpets_of_aladdin.png,The Magic Carpets of Aladdin,Y
magic_kingdom,8,1,magic_kingdom_r8_c1.png,tianas_bayou_adventure.png,Tianas Bayou Adventure,Y
